"KaySig" "38.43.130.109" "220798480" "338812480" "295017120" "6" "69"
"Netori" "186.3.219.14" "213216560" "329360704" "295469600" "2" "100"
"No Love" "190.237.47.143" "207689808" "303200064" "283332000" "3" "49"
"_M_" "190.233.86.124" "207020704" "297149504" "297149504" "3" "0"
"perrito" "190.233.86.52" "206281712" "304748864" "286535232" "1" "63"
"Speed" "161.132.49.188" "201497168" "313270528" "283364032" "2" "98"
"_M_" "181.66.137.196" "197981184" "279734720" "275745312" "2" "40"
"Speed2k" "179.6.166.44" "195240560" "296147040" "296147040" "5" "44"
"Rozskin" "38.25.66.109" "182139520" "284671872" "257329200" "3" "91"
"Grotesque" "177.91.248.65" "180628448" "277566336" "247085344" "2" "92"
"SEÑOR K" "81.184.97.194" "177044560" "251579632" "240516752" "3" "47"
"Frost" "190.42.120.38" "174625248" "280889536" "248736656" "1" "58"
"No Love" "181.65.1.113" "170319264" "258113744" "235416352" "1" "70"
"zz" "38.25.16.56" "144456448" "252356896" "252219712" "4" "9"
"" "" "0" "0" "0" "0" "0"
"" "" "0" "0" "0" "0" "0"
"" "" "0" "0" "0" "0" "0"
"" "" "0" "0" "0" "0" "0"
"" "" "0" "0" "0" "0" "0"
"" "" "0" "0" "0" "0" "0"
